name,timeout,real,cpu,ram,status
55-tests/12,False,3.88434,3.81713,163804,1
55-tests/5,False,5.76675,5.82512,163724,1
55-tests/37,False,7.05022,6.93921,171168,0
55-tests/20,False,3.34954,8.49177,177012,0
55-tests/4,False,4.17083,9.7623,180616,0
55-tests/23,False,13.7885,13.8258,173712,0
55-tests/7,False,2.86928,7.24262,187888,0
55-tests/11,False,20.5286,20.1662,171868,0
55-tests/14,False,6.3765,11.3411,196172,1
55-tests/6,False,27.9721,27.8294,170416,0
55-tests/10,False,21.411,26.2481,191188,1
55-tests/19,False,3.23765,7.95555,177592,0
55-tests/13,False,2.4275,6.90304,174892,0
55-tests/55,False,36.5583,36.8604,164932,0
55-tests/26,False,36.5453,41.2727,172708,0
55-tests/36,False,33.1102,37.5724,183960,0
55-tests/48,False,69.2719,69.5061,175300,0
55-tests/40,False,17.8393,22.3208,179864,0
55-tests/51,False,74.6174,78.7248,200904,0
55-tests/29,False,11.5527,16.9263,192672,0
55-tests/2,False,60.7601,66.0075,193672,0
55-tests/21,False,18.9935,23.7065,184700,0
55-tests/17,False,109.395,113.31,195372,0
55-tests/52,False,137.907,136.986,172836,0
55-tests/28,False,11.6181,16.4258,203480,0
55-tests/1,False,50.7889,55.3238,177756,0
55-tests/50,False,11.3502,16.3207,197000,0
55-tests/32,False,163.988,168.391,182188,0
55-tests/30,False,315.16,314.174,191892,0
55-tests/39,False,11.4452,16.7227,191040,0
55-tests/3,False,295.083,299.429,190992,1
55-tests/45,False,214.295,219.011,204572,0
55-tests/24,False,3.23831,8.00949,200960,0
55-tests/44,False,16.1221,20.4148,175500,0
55-tests/42,False,117.369,121.342,201608,0
55-tests/41,False,358.07,362.835,198340,0
55-tests/8,False,2.96907,7.64085,195908,0
55-tests/15,False,31.3524,36.1937,196764,1
55-tests/31,False,4.20968,9.2548,163344,0
55-tests/25,True,600.04,599.767,212804,
55-tests/9,True,600.049,599.19,200312,
55-tests/43,True,600.03,598.487,227324,
55-tests/34,True,600.041,597.944,210336,
55-tests/46,True,600.072,599.299,221668,
55-tests/16,True,600.071,598.8,202240,
55-tests/49,True,600.059,603.416,222672,
55-tests/47,True,600.047,605.715,209540,
55-tests/38,True,600.045,603.948,231580,
55-tests/22,True,600.026,604.101,193328,
55-tests/33,True,600.028,604.642,203652,
55-tests/35,False,417.86,422.526,206204,0
55-tests/53,True,600.02,604.481,223856,
55-tests/27,True,600.025,604.61,233776,
55-tests/54,True,600.025,604.694,238296,
55-tests/18,True,600.044,604.511,239872,
