name,timeout,real,cpu,ram,process,status
55-tests/1,False,9.09195,32.1955,1111112,3,0
55-tests/12,False,9.09968,31.5442,1308448,1,2
55-tests/24,False,6.74578,27.8859,1185244,2,0
55-tests/27,False,137.589,683.774,1254176,1,0
55-tests/14,False,11.6085,45.4237,1184436,4,2
55-tests/23,False,7.41177,33.1913,1211320,1,0
55-tests/40,False,25.428,123.065,1146192,1,0
55-tests/4,False,10.9902,50.6661,1301468,3,0
55-tests/20,False,6.91089,29.9118,1358620,3,0
55-tests/8,False,8.23983,35.3356,1175756,3,0
55-tests/44,False,9.40919,42.817,1209556,3,0
55-tests/35,False,18.954,90.4965,1214632,0,0
55-tests/16,False,205.666,1024.07,1252164,4,0
55-tests/10,False,12.0248,48.1586,1173556,0,2
55-tests/21,False,7.53058,33.176,1136420,1,0
55-tests/18,False,65.1794,321.143,1369556,1,0
55-tests/52,False,38.8575,183.571,1331836,0,0
55-tests/3,False,11.9149,51.504,1309660,1,0
55-tests/46,True,600.048,2995.66,1616412,,
55-tests/29,False,11.9312,57.9581,1197356,1,0
55-tests/43,True,600.043,2995.03,1574856,,
55-tests/36,False,9.98317,45.2834,1194220,1,0
55-tests/37,False,6.92866,27.6023,1223488,2,0
55-tests/6,False,9.88778,46.7196,1177692,2,0
55-tests/55,False,14.3926,73.5483,1342848,2,0
55-tests/39,False,7.39838,32.8503,1321188,4,0
55-tests/30,False,16.4732,77.8653,1306896,1,0
55-tests/54,False,12.9048,60.2163,1289956,4,0
55-tests/53,False,139.534,693.117,1253852,2,0
55-tests/11,False,6.71544,19.9038,1261620,2,0
55-tests/7,False,5.97047,24.8263,1208056,2,0
55-tests/5,False,10.9147,50.363,1190032,1,2
55-tests/51,False,22.9962,110.663,1199172,2,0
55-tests/32,False,16.4728,78.4454,1190856,1,0
55-tests/48,False,9.83546,43.2844,1263348,1,0
55-tests/28,False,7.94689,35.2632,1195248,4,0
55-tests/38,True,600.044,2997.46,1485568,,
55-tests/13,False,6.76975,19.8042,1183400,1,0
55-tests/25,True,600.055,3063.4,1743244,,
55-tests/47,False,545.563,2764.03,3151528,4,0
55-tests/26,False,16.0128,71.1504,1258472,2,0
55-tests/45,False,10.0233,45.4597,1164440,2,0
55-tests/42,False,27.0112,132.009,1186768,0,0
55-tests/2,False,23.458,114.112,1248644,1,0
55-tests/41,False,14.2906,70.2206,1222988,3,0
55-tests/17,False,183.158,911.439,1243160,3,0
55-tests/49,False,90.4212,438.701,1203652,1,0
55-tests/33,False,582.201,2905.27,1581592,4,2
55-tests/19,False,8.05838,30.7885,1320592,3,0
55-tests/15,False,10.3377,45.2708,1260172,4,2
55-tests/31,False,7.52573,32.7479,1276404,3,0
55-tests/34,True,600.045,2996.92,1516012,,
55-tests/50,False,8.4061,37.9233,1130396,4,0
55-tests/22,True,600.044,2989.16,1607704,,
55-tests/9,True,600.069,2996.96,1649064,,
