name,timeout,real,cpu,ram,process,status
55-tests/12,False,3.15006,8.87838,808104,2,2
55-tests/1,False,3.60827,11.4178,777676,1,0
55-tests/24,False,3.16566,14.7627,967068,2,0
55-tests/27,False,442.663,2212.53,992128,4,0
55-tests/14,False,3.69879,14.8404,802632,4,2
55-tests/23,False,2.61707,12.3913,723128,1,0
55-tests/40,False,125.219,625.217,1065480,3,0
55-tests/4,False,4.7491,19.9696,737104,4,0
55-tests/20,False,2.6369,11.972,934812,1,0
55-tests/8,False,3.1884,14.5264,791580,0,0
55-tests/44,False,3.65344,16.7494,820572,1,0
55-tests/46,True,600.039,2994.13,1114592,,
55-tests/35,False,7.65881,37.0284,951680,0,0
55-tests/43,True,600.069,3000.09,1210676,,
55-tests/21,False,2.61198,12.3515,857764,1,0
55-tests/10,False,4.7362,21.1179,915376,4,2
55-tests/18,False,82.721,412.726,1045424,2,0
55-tests/52,False,89.7858,447.479,971612,4,0
55-tests/3,False,9.75017,44.9984,999948,0,0
55-tests/36,False,3.15259,15.4664,907240,4,0
55-tests/29,False,5.1554,24.7305,797044,0,0
55-tests/37,False,3.39569,13.8199,787032,1,0
55-tests/55,False,4.19639,19.9947,1038368,1,0
55-tests/6,False,14.1666,70.568,1032644,3,0
55-tests/39,False,2.68091,12.5903,716568,1,0
55-tests/30,False,14.6926,71.826,993236,4,0
55-tests/53,False,125.363,625.363,973888,0,0
55-tests/54,False,6.26893,27.7636,1009724,0,2
55-tests/16,True,600.041,2998.16,1162336,,
55-tests/11,False,5.2914,22.1784,934716,4,0
55-tests/7,False,2.65207,10.9199,578812,3,0
55-tests/5,False,3.14994,14.6595,815348,1,2
55-tests/51,False,35.6896,177.429,859312,1,0
55-tests/32,False,3.69064,17.0761,830424,4,0
55-tests/48,False,3.66969,17.5018,923380,1,0
55-tests/28,False,3.65085,16.7104,966980,4,0
55-tests/38,True,600.038,2998.78,1198384,,
55-tests/13,False,3.22711,11.4292,811276,4,0
55-tests/25,True,600.035,3000.35,1231664,,
55-tests/47,True,600.038,3001.85,1142796,,
55-tests/26,False,4.78472,20.1376,841120,1,0
55-tests/45,False,7.66964,37.1714,883324,4,0
55-tests/42,False,4.69192,22.3562,767544,0,0
55-tests/2,False,21.6747,107.689,925520,0,0
55-tests/41,False,3.16693,14.7733,891416,1,0
55-tests/33,True,600.042,2999.36,1204308,,
55-tests/17,False,99.7817,497.47,866712,4,0
55-tests/49,False,119.452,595.435,925104,2,0
55-tests/19,False,2.82222,12.1152,828740,1,0
55-tests/15,False,7.68724,37.1472,968392,0,2
55-tests/34,True,600.038,2996.96,1185732,,
55-tests/31,False,3.32104,14.4571,812624,4,0
55-tests/50,False,3.59768,17.9464,1001504,4,0
55-tests/22,True,600.042,2997.84,1089420,,
55-tests/9,True,600.056,3000.81,1202808,,
