name,timeout,real,cpu,ram,status
55-tests/24,False,3.79254,9.48323,681496,0
55-tests/44,False,5.20988,15.9005,618852,0
55-tests/35,False,6.53554,25.2377,726640,0
55-tests/14,False,36.1874,101.024,647920,1
55-tests/23,False,4.48286,17.0933,708656,0
55-tests/4,False,94.7506,371.978,726496,0
55-tests/20,False,4.94871,14.9427,839956,0
55-tests/8,False,3.93695,14.1632,655144,0
55-tests/10,False,12.3948,35.8174,747120,1
55-tests/21,False,4.79292,17.2204,714972,0
55-tests/40,False,119.554,476.401,743012,0
55-tests/52,False,150.468,599.858,839260,0
55-tests/3,False,13.9281,53.173,812516,0
55-tests/29,False,5.99297,23.6561,758552,0
55-tests/36,False,18.0821,71.0425,801172,0
55-tests/37,False,3.40251,12.4639,782252,0
55-tests/18,False,381.678,1525.2,816232,0
55-tests/55,False,11.36,42.1312,777580,0
55-tests/6,False,258.539,1033.33,850292,0
55-tests/30,False,256.807,1026.15,828516,0
55-tests/39,False,5.84791,19.0888,687404,0
55-tests/46,True,900.018,3592.68,987600,
55-tests/43,True,900.037,3594.66,949496,
55-tests/16,True,900.036,3595.04,948672,
55-tests/1,False,20.5768,77.2563,754196,0
55-tests/12,False,4.37989,12.7982,721316,1
55-tests/48,False,3.76291,14.7668,621096,0
55-tests/5,False,20.7195,65.912,732284,1
55-tests/28,False,8.66643,34.4398,736096,0
55-tests/51,False,127.0,507.015,856252,0
55-tests/32,False,55.5703,219.694,817632,0
55-tests/13,False,3.48879,10.4166,671328,0
55-tests/38,True,900.038,3594.77,998724,
55-tests/25,True,900.04,3603.46,1004880,
55-tests/11,False,18.1281,69.1293,796952,0
55-tests/7,False,3.01908,10.6729,693612,0
55-tests/26,False,8.97658,35.3739,776692,0
55-tests/45,False,11.5128,44.0117,802556,0
55-tests/42,False,6.81326,25.9614,736740,0
55-tests/53,False,239.717,952.812,801996,0
55-tests/2,False,33.7251,134.894,782232,0
55-tests/41,False,8.42051,33.7861,738076,0
55-tests/27,True,900.038,3598.63,911060,
55-tests/47,True,900.038,3604.46,994796,
55-tests/54,False,112.017,181.083,684008,0
55-tests/50,False,9.53808,36.8617,829748,0
55-tests/17,False,146.658,585.409,763316,0
55-tests/15,False,90.0252,109.452,732132,1
55-tests/31,False,19.7656,77.3319,705344,0
55-tests/33,True,900.038,3598.03,955428,
55-tests/49,False,231.691,926.024,861044,0
55-tests/9,True,900.039,3602.16,1163444,
55-tests/34,True,900.041,3600.13,965068,
55-tests/22,True,900.058,3602.3,1000264,
55-tests/19,False,3.16235,13.5043,787616,0
