name,timeout,real,cpu,ram,process,status
55-tests/12,False,3.15469,7.70315,719452,3,2
55-tests/24,False,3.78486,9.35969,649644,0,0
55-tests/1,False,4.62797,13.5125,727628,3,0
55-tests/14,False,3.11591,13.78,629768,3,2
55-tests/23,False,3.15998,13.2469,663128,2,0
55-tests/40,False,8.64526,34.9317,704384,1,0
55-tests/4,False,4.12012,17.0765,684736,3,0
55-tests/20,False,3.16516,11.7054,686500,3,0
55-tests/8,False,3.17111,12.8378,708392,0,0
55-tests/44,False,3.65791,15.6737,783672,3,0
55-tests/35,False,7.23576,29.7159,839360,0,0
55-tests/27,False,125.46,500.877,781776,3,0
55-tests/10,False,4.73134,17.6353,703352,3,2
55-tests/21,False,3.67464,15.1709,844312,3,0
55-tests/18,False,146.374,585.401,774560,2,0
55-tests/52,False,40.44,159.885,705496,3,2
55-tests/3,False,9.20789,36.5261,756028,0,0
55-tests/29,False,5.72977,23.2608,772692,0,0
55-tests/36,False,3.22056,13.8148,651024,3,0
55-tests/37,False,3.2477,12.5618,708324,0,0
55-tests/6,False,13.9078,55.0296,748128,1,0
55-tests/55,False,8.24327,33.5549,705812,0,0
55-tests/30,False,14.743,59.1265,747648,3,0
55-tests/39,False,3.17027,13.1559,681560,2,0
55-tests/46,True,600.036,2393.26,872732,,
55-tests/43,True,600.037,2398.51,983868,,
55-tests/54,False,5.68358,23.1941,818420,0,2
55-tests/53,False,26.7663,105.195,798748,1,0
55-tests/11,False,7.19657,28.6203,702664,2,0
55-tests/7,False,2.68907,10.1646,590748,3,0
55-tests/16,True,600.036,2399.66,938128,,
55-tests/5,False,5.22441,20.9212,694832,3,2
55-tests/32,False,3.66343,15.9216,794292,3,0
55-tests/48,False,4.15843,16.8818,742420,0,0
55-tests/28,False,3.64724,14.9487,745344,3,0
55-tests/51,False,64.857,259.618,872256,2,2
55-tests/13,False,2.88753,10.1852,726540,3,0
55-tests/38,True,600.035,2399.87,945220,,
55-tests/25,False,470.792,1883.97,833128,1,0
55-tests/26,False,9.28174,35.5427,763588,0,0
55-tests/45,False,7.16059,29.2218,741868,1,0
55-tests/42,False,4.69006,19.5201,761232,0,0
55-tests/2,False,5.6832,23.5477,680652,1,0
55-tests/41,False,8.20061,33.1533,807500,0,0
55-tests/47,True,600.039,2403.75,990128,,
55-tests/33,True,600.038,2400.26,951324,,
55-tests/17,False,271.131,1084.3,901916,3,0
55-tests/19,False,3.87584,12.1611,729908,2,0
55-tests/15,False,7.85265,31.2066,844884,0,2
55-tests/49,False,147.549,587.252,866616,2,0
55-tests/31,False,3.72405,14.8457,696364,3,0
55-tests/50,False,3.78999,16.0789,857252,3,0
55-tests/34,True,600.036,2397.46,987756,,
55-tests/22,True,600.04,2400.03,955948,,
55-tests/9,True,600.052,2401.96,1033308,,
