name,timeout,real,cpu,ram,process,status
55-tests/12,False,3.14481,5.94398,496308,1,2
55-tests/24,False,3.72633,7.59642,546724,1,0
55-tests/1,False,4.6731,10.2745,568308,2,0
55-tests/14,False,3.3097,12.1918,588708,2,2
55-tests/23,False,3.18399,11.9086,548824,1,0
55-tests/4,False,4.14124,14.653,571264,2,0
55-tests/20,False,2.666,10.1548,623852,2,0
55-tests/8,False,3.14781,10.8923,586652,0,0
55-tests/44,False,3.7794,13.0259,588772,2,0
55-tests/35,False,7.16934,23.5348,623104,0,0
55-tests/40,False,231.722,695.817,718108,1,0
55-tests/10,False,4.79526,14.9018,616388,2,2
55-tests/21,False,3.81322,13.5931,644412,2,0
55-tests/27,False,318.641,956.679,646668,2,0
55-tests/18,False,74.7918,226.242,584952,1,0
55-tests/3,False,9.26978,29.6997,622792,0,0
55-tests/29,False,5.67625,18.6909,595028,0,0
55-tests/36,False,3.17227,11.7308,514360,2,0
55-tests/37,False,3.17866,11.1407,607896,0,0
55-tests/6,False,16.6918,52.0217,593512,2,0
55-tests/55,False,8.1814,26.6915,684468,0,0
55-tests/30,False,14.668,46.0086,532808,2,0
55-tests/39,False,3.27882,11.4205,552692,1,0
55-tests/52,False,128.327,385.368,627272,2,2
55-tests/53,False,66.3635,199.012,612328,2,0
55-tests/54,False,6.82212,20.4645,559500,0,2
55-tests/43,True,600.033,1794.9,672772,,
55-tests/46,True,600.038,1795.27,694716,,
55-tests/7,False,3.18535,7.90595,518436,2,0
55-tests/11,False,6.243,16.7623,602728,2,0
55-tests/5,False,5.1813,17.1674,617416,2,2
55-tests/32,False,3.68056,12.7078,629392,2,0
55-tests/48,False,4.2381,14.2882,513036,0,0
55-tests/28,False,3.69926,12.7919,596132,2,0
55-tests/16,True,600.036,1800.84,670592,,
55-tests/13,False,2.64809,8.93994,444692,2,0
55-tests/51,False,94.3114,284.009,675516,2,0
55-tests/38,True,600.036,1801.23,735592,,
55-tests/26,False,9.11859,28.0235,587956,0,0
55-tests/45,False,7.64555,24.5545,609780,2,0
55-tests/42,False,4.63823,15.8915,519484,0,0
55-tests/2,False,22.1997,68.5794,532544,0,0
55-tests/41,False,8.23432,26.3064,685756,0,0
55-tests/25,True,600.035,1801.81,740364,,
55-tests/47,True,600.036,1803.45,703180,,
55-tests/33,True,600.036,1801.6,761912,,
55-tests/19,False,2.77557,10.1058,607312,2,0
55-tests/15,False,7.15004,23.2959,570268,0,2
55-tests/31,False,3.17615,11.3289,545536,2,0
55-tests/34,True,600.036,1799.65,670260,,
55-tests/17,False,265.072,796.488,724896,1,0
55-tests/50,False,4.16513,12.9976,549648,2,0
55-tests/49,False,421.758,1265.11,641648,1,0
55-tests/22,True,600.039,1800.46,708000,,
55-tests/9,True,600.052,1802.72,789344,,
