name,timeout,real,cpu,ram,status
55-tests/1,False,4.92691,13.5185,842584,0
55-tests/12,False,5.86083,11.0709,959120,1
55-tests/24,False,3.47296,14.655,957376,0
55-tests/27,False,27.2676,160.402,1065444,0
55-tests/46,True,900.04,5385.18,1433368,
55-tests/23,False,4.13154,16.7144,1098380,0
55-tests/43,True,900.035,5398.86,1398580,
55-tests/4,False,4.09264,22.416,1160280,0
55-tests/20,False,2.595,13.4747,1153600,0
55-tests/8,False,3.16781,16.2403,1021136,0
55-tests/44,False,3.63307,19.9925,1089168,0
55-tests/35,False,7.10865,40.9052,1098008,0
55-tests/14,True,900.037,1838.97,963820,
55-tests/10,False,32.2117,69.7591,973608,1
55-tests/21,False,3.28412,15.677,1051428,0
55-tests/40,False,115.841,470.161,848388,0
55-tests/18,False,85.2035,508.377,1082080,0
55-tests/3,False,9.26167,51.6628,987904,0
55-tests/29,False,5.16821,28.1917,958504,0
55-tests/36,False,4.2323,21.7029,1026484,0
55-tests/37,False,2.6614,12.7371,905580,0
55-tests/6,False,15.7132,90.9097,1087576,0
55-tests/55,False,5.78815,31.2665,1001156,0
55-tests/30,False,4.23252,21.9983,951484,0
55-tests/39,False,2.67505,13.0682,942848,0
55-tests/16,True,900.039,5397.67,1307088,
55-tests/53,False,26.3823,152.061,1218172,0
55-tests/54,False,15.365,79.3577,1059148,0
55-tests/52,True,900.04,3265.54,1168940,
55-tests/11,False,4.77372,22.1914,930232,0
55-tests/7,False,2.77028,12.0057,919872,0
55-tests/38,True,900.036,3607.05,1003924,
55-tests/51,False,60.7961,359.059,1108360,0
55-tests/32,False,4.28466,19.7331,1154236,0
55-tests/48,False,3.59456,19.9985,847268,0
55-tests/28,False,3.57824,19.4636,927352,0
55-tests/5,False,227.527,315.54,908820,1
55-tests/13,False,3.31237,11.9291,263028,0
55-tests/47,False,95.7962,573.189,1049548,0
55-tests/25,True,900.05,5155.01,1252304,
55-tests/26,False,7.41635,37.3949,1111852,0
55-tests/45,False,3.67091,18.7313,946364,0
55-tests/42,False,4.66378,25.0299,1035728,0
55-tests/2,False,21.1799,124.397,1170820,0
55-tests/41,False,6.19363,33.9761,1124608,0
55-tests/17,False,50.7523,301.56,1217912,0
55-tests/49,False,66.8765,394.531,1077384,0
55-tests/33,True,900.037,5397.04,1347444,
55-tests/19,False,3.34087,13.2721,899832,0
55-tests/34,True,900.037,5396.24,1242004,
55-tests/31,False,3.24476,16.3766,1007956,0
55-tests/22,True,900.038,3606.62,1055732,
55-tests/50,False,4.32055,19.9459,880928,0
55-tests/15,True,900.031,2559.95,927880,
55-tests/9,True,900.045,5399.69,1614044,
